Nationality	Latitude	Longitude	Count
Swiss	47	8	307
German	51	10	217
Italian	44	11	75
Indian	22	77	44
Austrian	48	15	41
French	47	3	33
Chinese	35	110	33
Polish	52	21	25
Spanish	40	-3	24
British	52	-1	23
Dutch	52	5	22
Greek	39	23	19
American	40	-99	15
Portuguese	40	-8	12
Turkish	39	31	11
Iranian	34	53	9
Malaysian	4	102	9
Canadian	56	-102	9
Russian	60	50	9
Taiwanese	24	121	7
Croatian	46	17	7
Czech	50	15	6
South African	-27	25	5
Swedish	60	17	5
Ukrainian	50	29	5
Mexican	22	-101	5
Luxembourger	50	6	5
Brazilian	-20	-55	4
Bulgarian	43	25	4
Colombian	4	-73	4
Argentine	-32	-62	4
Peruvian	-11	-75	4
Thai	15	102	3
Serbian	44	21	3
Lithunian	55	24	3
Slovenian	46	14	3
Israeli	32	35	3
Cypriot	35	33	3
Slovakian	49	20	3
Cameroonian	5	12	3
Irish	52	-8	3
Japanese	37	138	2
Egyptian	28	30	2
Nepalese	28	85	2
Finnish	61	26	2
Belgian	51	5	2
Ethiopian	9	39	2
Hungarian	47	19	2
Armenian	41	45	2
Vietnamese	15	108	2
Icelander	65	-20	2
Venezuelan	8	-67	2
Pakistani	30	70	2
Uruguayan	-32	-56	1
Australian	-28	135	1
Latvian	57	25	1
Kazakhstani	47	66	1
Indonesian	0	115	1
Turkmen	39	60	1
Albanian	42	20	1
Belarusian	54	27	1
Montenegrin	43	19	1
Jordanian	31	37	1
Chilean	-35	-71	1
Sri Lankan	7	81	1
Romanian	46	25	1
Ghanaian	8	-1	1
Norwegian	63	11	1
Liechtensteiner	47	10	1
Georgian	42	43	1
Costa Rican	10	-84	1
Algerian	30	2	1
Moroccan	31	-6	1
Puerto Rican	18	-67	1
